date,district,rain_mean,rain_max,rain_min,ante_15d,Flood occurrences
1998-01-15,BUDUDA,0.1422066465064572,0.4865741729736328,0.0245160236954689,109.41783723154421,False
1998-01-16,BUDUDA,9.938075964361095,23.08999252319336,4.473484516143799,116.65859886296664,False
1998-01-17,BUDUDA,7.152678799563539,8.996942520141602,3.973963499069214,117.40264426615572,False
1998-01-18,BUDUDA,5.0432495158859805,8.582831382751465,2.479660987854004,116.95074380699481,False
1998-01-19,BUDUDA,7.557948267229627,11.430429458618164,5.416766166687012,115.53009596324321,False
1998-01-20,BUDUDA,11.997318772893587,14.757076263427734,9.258065223693848,123.76371047113008,False
1998-01-21,BUDUDA,0.0,0.0,0.0,123.46802146747456,False
1998-01-22,BUDUDA,0.0,0.0,0.0,122.6706563847642,False
1998-01-23,BUDUDA,0.0,0.0,0.0,121.52232984062029,False
1998-01-24,BUDUDA,0.0,0.0,0.0,119.46016946329982,False
1998-01-25,BUDUDA,0.0,0.0,0.0,110.85920966643593,False
1998-01-26,BUDUDA,0.095181257601497,0.5335023999214172,0.0,69.95770646601693,False
1998-01-27,BUDUDA,0.5397560999146435,2.784726858139038,0.0,56.50665548970523,False
1998-01-28,BUDUDA,1.4938268141929798,6.965830326080322,0.0,46.36153414243375,False
1998-01-29,BUDUDA,1.4316306927051226,6.5317792892456055,0.0,45.39187283085454,False
1998-01-30,BUDUDA,0.0779164519991264,0.3701382875442505,0.0,45.32758263634721,False
1998-01-31,BUDUDA,0.0033720533349178,0.0434197708964347,0.0,35.392878725321026,False
1998-02-01,BUDUDA,0.0369713204365413,0.0972836166620254,0.0,28.27717124619403,False
1998-02-02,BUDUDA,0.1834243674903449,0.3302697837352752,0.0,23.417346097798397,False
1998-02-03,BUDUDA,0.2671426431445634,0.5096021294593811,0.0,16.126540473713334,False
1998-02-06,BUDUDA,1.7124986834837923,4.162583351135254,0.1459472775459289,6.275096393791696,False
1998-02-07,BUDUDA,10.789832692254336,24.989952087402344,2.018742322921753,17.064929086046032,False
1998-02-08,BUDUDA,15.038878874752472,24.15453338623047,2.9919190406799316,32.103807960798505,False
1998-02-09,BUDUDA,9.621408089864396,24.37707138061523,2.371643304824829,41.7252160506629,False
1998-02-10,BUDUDA,34.40010287712393,45.342281341552734,19.2786808013916,76.03013767018533,False
1998-02-11,BUDUDA,23.241387067948633,49.4473991394043,14.707334518432615,98.73176863821932,False
1998-02-12,BUDUDA,5.240990263194868,8.404759407043457,3.269259214401245,102.47893208722121,False
1998-02-13,BUDUDA,8.511161823485677,13.09544849395752,3.5717122554779053,109.55846321800176,False
1998-02-14,BUDUDA,11.417462830350466,19.07589530944824,3.9270405769348145,120.8980095963531,False
