date,district,rain_mean,rain_max,rain_min
2021-01-01,SIRONKO,3.7669542548319184,7.696424961090088,0.9597038626670837
2021-01-01,BULAMBULI,9.194658782389705,22.701107025146484,0.0
2021-01-01,BUKWO,1.0980788584525525,10.88991928100586,0.0
2021-01-01,BUTALEJA,28.473346427327705,44.84677505493164,9.174890518188477
2021-01-01,KWEEN,6.360774033552129,22.701107025146484,0.0
2021-01-01,KAPCHORWA,3.7998964548399,12.257287979125977,0.0
2021-01-01,MANAFWA,14.019877484764928,31.903249740600586,3.5707931518554688
2021-01-01,BUDUDA,5.214746584826369,13.991090774536133,0.0
2021-01-01,MBALE,15.694704551112732,28.35515594482422,2.8513686656951904
2021-01-01,MBALE,9.528873607647641,12.42225456237793,3.3084046840667725
2021-01-02,SIRONKO,6.996225117928822,19.085079193115234,0.7289238572120667
2021-01-02,BULAMBULI,0.4229255947919493,5.307616233825684,0.0
2021-01-02,BUKWO,0.15191793533542938,2.3220415115356445,0.0
2021-01-02,BUTALEJA,2.034209807068201,14.442416191101074,0.0297479759901762
2021-01-02,KWEEN,0.20346227159103766,2.3220415115356445,0.0
2021-01-02,KAPCHORWA,0.12481650040163303,0.8101951479911804,0.0
2021-01-02,MANAFWA,4.968360394315584,15.309035301208496,0.9094014763832092
2021-01-02,BUDUDA,3.519890405074401,8.301721572875977,0.0
2021-01-02,MBALE,11.589891530176894,19.085079193115234,3.4698095321655273
2021-01-02,MBALE,15.249898317394948,15.448040008544922,8.894895553588867
2021-01-03,SIRONKO,1.1461384550823008,4.104084014892578,0.2227766513824463
2021-01-03,BULAMBULI,0.18712403587506737,2.573857545852661,0.0
2021-01-03,BUKWO,0.05037561512152733,0.4018588960170746,0.0
2021-01-03,BUTALEJA,1.1290701493382835,9.15015983581543,0.0
2021-01-03,KWEEN,0.05187725406793057,0.4018588960170746,0.0
2021-01-03,KAPCHORWA,0.09379857129425186,0.5065577626228333,0.0
2021-01-03,MANAFWA,1.750901732648336,4.605922222137451,0.0
2021-01-03,BUDUDA,1.1980364054686585,3.888540029525757,0.0
2021-01-03,MBALE,3.6788997528434857,9.15015983581543,0.0
2021-01-03,MBALE,6.252513535245353,6.869147300720215,1.833717942237854
2021-01-04,SIRONKO,0.24337208447733266,0.7213932275772095,0.0
2021-01-04,BULAMBULI,0.0800484858641128,0.7117544412612915,0.0
2021-01-04,BUKWO,0.012693376803316787,0.6651706099510193,0.0
2021-01-04,BUTALEJA,0.029253493507394313,0.13148283958435059,0.0
2021-01-04,KWEEN,0.05590624586012611,0.6651706099510193,0.0
2021-01-04,KAPCHORWA,0.11082966120881298,0.6119194626808167,0.0
2021-01-04,MANAFWA,0.2114571323707829,0.7169268727302551,0.0
2021-01-04,BUDUDA,0.23210655052159046,0.7117544412612915,0.0
2021-01-04,MBALE,0.0447412542579211,0.7213932275772095,0.0
2021-01-04,MBALE,0.0,0.0,0.0
2021-01-05,SIRONKO,0.3387493701400291,1.446951985359192,0.0
2021-01-05,BULAMBULI,0.08317045541519993,0.9669407606124878,0.0
2021-01-05,BUKWO,0.06686019311628424,1.1654787063598633,0.0
2021-01-05,BUTALEJA,0.001724283378256059,0.2066219002008438,0.0
2021-01-05,KWEEN,0.10200341437660422,1.1654787063598633,0.0
2021-01-05,KAPCHORWA,0.03825838481234564,0.2839448153972626,0.0
2021-01-05,MANAFWA,0.8464617620115499,4.272143363952637,0.0
2021-01-05,BUDUDA,1.5429801816655537,4.272143363952637,0.0
2021-01-05,MBALE,0.1089260931929231,0.8856356143951416,0.0
2021-01-05,MBALE,0.0,0.0,0.0
2021-01-06,SIRONKO,2.0174660835911524,9.358207702636719,0.0
2021-01-06,BULAMBULI,0.14911593329234732,3.6470158100128174,0.0
2021-01-06,BUKWO,0.0018197438720916085,0.040539707988500595,0.0
2021-01-06,BUTALEJA,0.6105716070123549,9.413483619689941,0.0
2021-01-06,KWEEN,0.004940101527443691,0.20389989018440247,0.0
2021-01-06,KAPCHORWA,0.012554944517375596,0.14522583782672882,0.0
2021-01-06,MANAFWA,1.2497168072907343,9.164377212524414,0.0
2021-01-06,BUDUDA,4.583417538388819,9.358207702636719,0.20389989018440247
2021-01-06,MBALE,4.318708045088021,9.423712730407715,0.0
2021-01-06,MBALE,5.318205400829489,5.958233833312988,1.4527989625930786
2021-01-07,SIRONKO,0.6266140099655071,2.754709243774414,0.0
2021-01-07,BULAMBULI,0.10180781293334008,2.5538530349731445,0.0
2021-01-07,BUKWO,0.0,0.0,0.0
2021-01-07,BUTALEJA,0.0,0.0,0.0
2021-01-07,KWEEN,0.0,0.0,0.0
2021-01-07,KAPCHORWA,7.804344852828686E-4,0.10798580199480057,0.0
2021-01-07,MANAFWA,0.48124481668745195,4.721555709838867,0.0
2021-01-07,BUDUDA,2.110922894871719,4.721555709838867,0.0
2021-01-07,MBALE,0.02341522630889487,0.5176629424095154,0.0
2021-01-07,MBALE,0.0,0.0,0.0
2021-01-08,SIRONKO,0.8116120867480274,2.0732386112213135,0.0
2021-01-08,BULAMBULI,0.7497664152473101,2.944118022918701,0.0
2021-01-08,BUKWO,0.047270928434048176,0.9583579897880554,0.0
2021-01-08,BUTALEJA,0.0,0.0,0.0
2021-01-08,KWEEN,0.1256660262473105,1.0869238376617432,0.0
2021-01-08,KAPCHORWA,0.9526583048855296,2.2754523754119873,0.0
