date,district,tmax_c,tmin_c,tmean_c
2011-01-01,SIRONKO,24.21412584180702,13.059568447342695,19.31401100496695
2011-01-01,BULAMBULI,26.929908966909714,13.847521088414776,20.738777742381433
2011-01-01,BUKWO,22.741920975997147,12.160921571147977,17.055425881919792
2011-01-01,BUTALEJA,28.217914145858774,17.414112056534503,22.58155996232214
2011-01-01,KWEEN,27.53562056869652,13.947859396283526,20.941444947317123
2011-01-01,KAPCHORWA,24.310050207684846,12.483821731386996,18.39013698267305
2011-01-01,MANAFWA,24.519589205234155,12.806317229488487,19.865527644797822
2011-01-01,BUDUDA,21.639693390477497,10.905152063676523,17.021745397263803
2011-01-01,MBALE,25.532149307692517,14.179505390188927,20.80795568819644
2011-01-01,MBALE,25.401109761582536,14.025619570497142,20.692490740415078
2011-01-02,SIRONKO,23.617615854722114,12.354508503635053,19.19981614662684
2011-01-02,BULAMBULI,26.434006880517376,13.46974960664956,20.50998420806547
2011-01-02,BUKWO,22.10357059032649,12.01671119571161,16.72626199270139
2011-01-02,BUTALEJA,27.570701911985708,16.89713202708283,22.1591030215504
2011-01-02,KWEEN,26.844114409064908,14.027952909604508,20.621466182577368
2011-01-02,KAPCHORWA,23.78465516944265,11.957121902587138,18.082447026709296
2011-01-02,MANAFWA,23.1615303698137,12.310092035508086,19.276613594156945
2011-01-02,BUDUDA,20.67368950194635,10.809743871693835,16.778397758083
2011-01-02,MBALE,24.593202088962475,13.829837638708268,20.430499720557133
2011-01-02,MBALE,24.568836877616494,13.326876608240578,20.48113632019786
2011-01-03,SIRONKO,23.6286180035552,12.481604179198209,18.807997003996835
2011-01-03,BULAMBULI,26.447745453638277,13.453866105870961,20.396385297268655
2011-01-03,BUKWO,22.275826107663836,12.221752151939372,16.91778289701742
2011-01-03,BUTALEJA,28.07005640557698,16.147837771560457,22.207110355830395
2011-01-03,KWEEN,27.26260479408467,14.175906563290246,20.79122263254923
2011-01-03,KAPCHORWA,23.78561898952294,12.142477591175263,18.099409119612957
2011-01-03,MANAFWA,24.0610372851623,12.117629689548368,18.95967401607119
2011-01-03,BUDUDA,21.090960031359362,10.571865523742506,16.66379694907709
2011-01-03,MBALE,25.26965191970192,13.480044116059831,20.162457841084198
2011-01-03,MBALE,24.892014901610075,13.581106237140466,20.076704741291085
2011-01-04,SIRONKO,24.977669739570405,12.439089500550816,19.555525768010874
2011-01-04,BULAMBULI,27.44918735156025,13.170968222188426,20.868052822144517
2011-01-04,BUKWO,22.475939383447113,11.98122922323745,17.124189704786314
2011-01-04,BUTALEJA,29.045077866903185,16.11765869452998,22.896246785083402
2011-01-04,KWEEN,27.718853731672304,13.755764249079396,20.986089918009267
2011-01-04,KAPCHORWA,24.77050913640573,11.786647351552078,18.525393837649315
2011-01-04,MANAFWA,24.641694536045197,11.938899791484271,19.5813028748743
2011-01-04,BUDUDA,22.036632139777232,10.502354020166136,17.265152649125966
2011-01-04,MBALE,26.229438321540485,13.803401301372302,21.010080310466737
2011-01-04,MBALE,26.258940542785584,13.558920266202428,20.859120479452812
2011-01-05,SIRONKO,24.240650687726326,13.006681777576523,19.237388951983142
2011-01-05,BULAMBULI,26.172261099312045,14.068400994380434,20.55972451697513
2011-01-05,BUKWO,21.182690559705975,12.41963664313278,17.06329976299334
2011-01-05,BUTALEJA,27.818608314585983,16.991643672065393,22.312048206558774
2011-01-05,KWEEN,26.238976297197876,14.15616678620967,20.872106821694185
2011-01-05,KAPCHORWA,23.383994976637,12.450187658231705,18.205332630810684
2011-01-05,MANAFWA,23.849440685599962,12.624246104718296,18.98883658953163
2011-01-05,BUDUDA,21.247056502343927,10.873825316649544,16.80899499527298
2011-01-05,MBALE,25.675746375884994,13.948186259048262,20.635058314215424
2011-01-05,MBALE,25.77005687648969,13.760366272211408,20.639345075233475
2011-01-06,SIRONKO,25.515487487856088,12.62266131575017,19.78773128724374
2011-01-06,BULAMBULI,27.519877162138368,13.157105161034467,20.87238687220816
2011-01-06,BUKWO,22.847073482464403,12.940414497023047,17.581291733011216
2011-01-06,BUTALEJA,28.906189606445405,16.49482475634273,22.861384465847436
2011-01-06,KWEEN,27.576929799423148,13.858944529132998,21.10899459680437
2011-01-06,KAPCHORWA,24.84631918471342,11.799375524855646,18.55542177954325
2011-01-06,MANAFWA,24.78941799778116,11.916802367254597,19.641634334200333
2011-01-06,BUDUDA,22.430598136612993,10.842672533141023,17.51481769672915
2011-01-06,MBALE,26.598615018645603,13.917066710052227,20.880558525880577
2011-01-06,MBALE,26.811527082102575,13.697146318975319,20.78831519550061
2011-01-07,SIRONKO,24.814247017798515,12.946862130962048,19.305077340421107
2011-01-07,BULAMBULI,27.557485754617304,13.754352673434452,21.004755899507966
2011-01-07,BUKWO,22.91212636386083,11.73287286395584,17.47677672983958
2011-01-07,BUTALEJA,27.453372626184848,18.175282703415686,22.628121245534704
2011-01-07,KWEEN,27.851633363229343,14.111986235756962,21.377087413699016
2011-01-07,KAPCHORWA,24.986140920831165,12.169702643565357,18.7862951804962
2011-01-07,MANAFWA,23.3228697788995,12.594396233478186,18.972234756689613
2011-01-07,BUDUDA,21.45726305546473,11.100750965624263,16.840306742257265
2011-01-07,MBALE,25.281480210428903,14.555540801358438,20.193583308070444
2011-01-07,MBALE,25.5558270987818,14.35828005157831,20.19683521889129
2011-01-08,SIRONKO,21.834396690044805,13.036397503830447,17.66495975790033
2011-01-08,BULAMBULI,23.511220476294298,14.491470300731937,19.44034517167786
2011-01-08,BUKWO,21.154080764848008,12.693648072916423,17.041187456657944
2011-01-08,BUTALEJA,25.84114264755681,17.89108523071106,21.148719951262244
2011-01-08,KWEEN,24.8460957677031,14.943700572992084,20.34435623461481
2011-01-08,KAPCHORWA,21.397274434119794,12.886375256549295,17.443980932912517
2011-01-08,MANAFWA,21.697341377417406,12.23038930701779,17.08646167580682
2011-01-08,BUDUDA,19.419071398750784,10.573008843211165,15.301316621640668
2011-01-08,MBALE,23.114783130033622,13.784791570227997,18.449074217511242
2011-01-08,MBALE,22.880611438577173,13.744317067431057,18.40568691918457
2011-01-09,SIRONKO,23.132458965326144,12.399728515932717,18.126289781080484
2011-01-09,BULAMBULI,25.382896237385232,13.82856654493156,19.787418532703143
2011-01-09,BUKWO,22.135621025675903,11.192765402782213,16.57331101757419
2011-01-09,BUTALEJA,26.646402147186496,17.152072938494314,21.691141969822826
2011-01-09,KWEEN,26.835590729935273,13.934385327370258,20.51362905997985
2011-01-09,KAPCHORWA,23.196015388451666,12.20868701292016,17.711356294519856
2011-01-09,MANAFWA,22.82510799453182,12.250194350240042,17.73221658360555
2011-01-09,BUDUDA,20.562373219669688,10.243389827190716,15.758871084018914
2011-01-09,MBALE,24.066737430387406,13.378173359156142,19.15021413554809
2011-01-09,MBALE,24.01835680716665,12.945478122517237,19.04538271546316
2011-01-10,SIRONKO,22.983221497493638,13.201402318408478,18.70095514980672
2011-01-10,BULAMBULI,25.285101545368757,14.111957639920996,20.21372371330075
2011-01-10,BUKWO,21.380702606308862,11.574935325509422,16.657959748477438
2011-01-10,BUTALEJA,26.956111341825075,17.765604547729342,21.93951995667441
2011-01-10,KWEEN,26.231673694816195,14.02197233619495,20.809387453646004
2011-01-10,KAPCHORWA,22.881306462011647,12.458803672024496,18.054195724098022
2011-01-10,MANAFWA,22.981330447987933,12.591626008536869,18.401111970255563
2011-01-10,BUDUDA,20.328726257424393,10.8462949558216,16.300844307877746
2011-01-10,MBALE,24.395938491611137,13.956028567021455,19.707341570783615
2011-01-10,MBALE,24.07413555677434,13.600390989062396,19.53660228866853
2011-01-11,SIRONKO,23.966818916094873,15.32722868244846,19.717354343374403
2011-01-11,BULAMBULI,26.901953326446836,15.887201264594058,21.48891935367626
2011-01-11,BUKWO,22.440378683557242,12.543301996830202,17.611338149778867
2011-01-11,BUTALEJA,27.398200867686654,18.11238747187341,22.70795406913672
2011-01-11,KWEEN,27.508182238676113,14.70849498960908,21.638856304032256
2011-01-11,KAPCHORWA,24.34608193464621,13.703142172188493,19.225597279700057
2011-01-11,MANAFWA,22.9986040653154,14.257036157801634,18.783301668307477
2011-01-11,BUDUDA,20.904910908949542,12.892182010294254,17.029199221486298
2011-01-11,MBALE,24.616395566805206,16.10603141587024,20.463590688226887
2011-01-11,MBALE,24.772008071760183,16.092771862383177,20.5604795083747
2011-01-12,SIRONKO,23.913236151490587,13.93679134780909,18.750637127714818
2011-01-12,BULAMBULI,26.31625172409011,15.269882504627338,20.899818427632848
2011-01-12,BUKWO,22.359095232230953,13.498571362527237,17.681787647910234
2011-01-12,BUTALEJA,26.350082481338234,18.184431825865452,22.161687033532516
2011-01-12,KWEEN,26.88999485312051,15.647563474554262,21.73333184098174
2011-01-12,KAPCHORWA,23.82500268555771,13.668152451097189,18.79936972769144
2011-01-12,MANAFWA,23.076979752887116,13.185974995868463,18.06488265991031
2011-01-12,BUDUDA,21.08105636905194,11.514101218639807,16.192875070002337
2011-01-12,MBALE,24.49228248238755,14.35809094124091,19.549250953760975
2011-01-12,MBALE,24.73563579375308,14.008471528989576,19.475647613246874
2011-01-13,SIRONKO,22.81269147140421,13.646990448205566,18.801725239204533
2011-01-13,BULAMBULI,25.00684167433887,15.674177819453437,20.63182603101046
2011-01-13,BUKWO,20.60966679482206,13.26080337233924,16.669616870848614
2011-01-13,BUTALEJA,26.52354533974626,18.234338877654857,21.997063916591504
2011-01-13,KWEEN,25.254802193804533,15.866291716327652,20.764860613743792
2011-01-13,KAPCHORWA,22.477156251469726,13.82043990904491,18.39005760890034
2011-01-13,MANAFWA,22.02030017711956,12.913137704326044,17.963268792840985
2011-01-13,BUDUDA,19.686074959498377,11.373278795506792,16.00095536858522
2011-01-13,MBALE,23.825059342749764,14.21465769975486,19.662385188079448
2011-01-13,MBALE,23.850542099814707,14.200296179660787,19.733563567637816
2011-01-14,SIRONKO,23.413159601134215,13.40335931402084,19.065273434718414
2011-01-14,BULAMBULI,26.577294346803352,15.538811588144803,20.91534186479764
2011-01-14,BUKWO,22.071132220750073,12.30038604080106,17.036435710910276
2011-01-14,BUTALEJA,26.762767933964316,17.526309204957276,21.683146860948682
2011-01-14,KWEEN,27.08099826362375,15.052942823679151,21.316201723072336
2011-01-14,KAPCHORWA,23.870388145083172,13.4540295918894,18.774832949625953
2011-01-14,MANAFWA,22.975088583595245,12.580228789068762,18.108170473730873
2011-01-14,BUDUDA,20.41692618011496,11.083965248339155,16.393426705841865
2011-01-14,MBALE,24.43037399349434,14.126418187501525,19.651427728435966
2011-01-14,MBALE,24.452940729730624,14.087335861584068,19.764003983107614
2011-01-15,SIRONKO,23.19896693942107,12.499995089961327,18.39061885821703
2011-01-15,BULAMBULI,25.61835023866702,14.4213647024556,20.396734496215807
2011-01-15,BUKWO,21.578792649520743,12.086137242487899,16.80413249650235
2011-01-15,BUTALEJA,26.290443434389847,16.704038364213808,21.031994196821383
2011-01-15,KWEEN,26.25386044906337,15.244676333954228,21.0668858285796
2011-01-15,KAPCHORWA,23.198562575407053,12.50582367242377,18.351435687326653
2011-01-15,MANAFWA,22.67432888172172,12.486567603445057,17.567165198269883
2011-01-15,BUDUDA,20.43960432303073,10.58045821715039,15.837358406792834
2011-01-15,MBALE,24.313902769153575,13.553595533196594,19.010596863974786
2011-01-15,MBALE,24.248630373481067,13.226969477965614,19.090290248461407
2011-01-16,SIRONKO,23.661159077967078,12.29365040621482,19.012234901811382
2011-01-16,BULAMBULI,26.160316505045845,14.107595921303721,20.814884359827992
2011-01-16,BUKWO,22.153746168792395,11.766814429103917,17.041366628909348
2011-01-16,BUTALEJA,27.61906764359978,16.910413363599297,21.913263564708743
2011-01-16,KWEEN,27.142219109016573,14.618774808313256,21.39512209139586
2011-01-16,KAPCHORWA,23.633055644100605,12.429131015402266,18.65723207716993
2011-01-16,MANAFWA,23.384200970936348,11.728534307828829,18.315606752625502
2011-01-16,BUDUDA,20.761369383259453,10.186218600561453,16.441714753868524
2011-01-16,MBALE,25.028469662568885,13.047931932264204,19.690837743017426
2011-01-16,MBALE,24.913664004886652,12.918048589077292,19.685576745024566
2011-01-17,SIRONKO,23.393916128259562,12.79913786746227,18.62536132012975
2011-01-17,BULAMBULI,25.594023250135162,14.794981890501857,20.532911408573842
2011-01-17,BUKWO,21.810371469972246,11.970887189157603,17.294533058318272
2011-01-17,BUTALEJA,26.213770283559374,16.76458901714204,21.637295521590104
2011-01-17,KWEEN,26.80979191117445,14.939031266124562,21.486034510689414
2011-01-17,KAPCHORWA,23.319182273636574,12.911478920574542,18.490308331156132
2011-01-17,MANAFWA,22.988290328379794,12.461150630886522,18.06599682316292
